criminalidad,es_archivo,es_preclusion,estado,etapa_caso,ley,pais_hecho,departamento_hecho,municipio_hecho,seccional,anio_hechos,anio_entrada,anio_denuncia,grupo_delito,victima_consumado,sexo,grupo_etario,pais_nacimiento,aplica_lgbti,aplica_nna,indigena,afrodescendiente,total_victimas,delito,agravante,Type,total_victimas_nna,cod_dep,cod_mun
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,SABANETA,DIRECCIÓN SECCIONAL DE MEDELLÍN,2021,2022,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,3,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,N.1 EJECUTADA POR TURISTA O VIAJERO NACIONAL O EXTRANJERO,ESCNNA,3,05,05631
NO,NO,SI,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,Córdoba,MONTERÍA,DIRECCIÓN SECCIONAL DE CÓRDOBA,2022,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,23,23001
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,2022,2022,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,,ESCNNA,1,76,76001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2025,2025,2025,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Venezuela,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,11,11001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Caldas,MANIZALES,DIRECCIÓN SECCIONAL DE CALDAS,2015,2015,2015,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,2,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,2,17,17001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2024,2024,2024,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,3,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,3,11,11001
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,Huila,HOBO,DIRECCIÓN SECCIONAL DE HUILA,2019,2019,2019,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,41,41349
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,2021,2021,2021,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,73,73001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,Magdalena,SANTA MARTA,DIRECCIÓN SECCIONAL DE MAGDALENA,2023,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,47,47001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2022,2023,2023,DELITOS SEXUALES,NO APLICA,SIN DATO,SIN DATO,SIN DATO,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,05,05001
